jurisdiccion,objeto_causa,circunscripcion,despacho_judicial,codigoResolucionDespacho,tipo_resolucion,cantidad_actuaciones,coordinates
Penal,Lesión,CAPITAL Y CENTRAL,CORTE SUPREMA DE JUSTICIA,586007,Sentencia Definitiva,1,"(-25.282, -57.6346)"
Penal,Violación de domicilio,CAPITAL Y CENTRAL,CORTE SUPREMA DE JUSTICIA,586008,Sentencia Definitiva,1,"(-25.282, -57.6346)"
Penal,Producción de documentos no auténticos,ÑEEMBUCÚ,"JUZGADO CIVIL, COMERCIAL Y LABORAL - ALBERDI, VILLA OLIVA Y VILLA FRANCA",586017,Providencia,1,"(-27.0608, -58.2478)"
Penal,Abuso sexual en niños - inducción,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586021,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Abuso sexual en personas indefensas,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586022,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Apropiación,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586023,Providencia,1,"(-25.282, -57.6346)"
Penal,Coacción Sexual,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586024,Providencia,1,"(-25.282, -57.6346)"
Penal,Desacato a la Orden Judicial ley 4711/12,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586025,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Estafa,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586026,Providencia,2,"(-25.282, -57.6346)"
Penal,Exposición a peligro del tránsito terrestre,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586027,Auto Interlocutorio,2,"(-25.282, -57.6346)"
Penal,Exposición a peligro del tránsito terrestre,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586028,Providencia,2,"(-25.282, -57.6346)"
Penal,Homicidio culposo,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586029,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Homicidio culposo,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586030,Providencia,1,"(-25.282, -57.6346)"
Penal,Homicidio Doloso,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586031,Auto Interlocutorio,3,"(-25.282, -57.6346)"
Penal,Homicidio Doloso,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586032,Auto Interlocutorio,2,"(-25.282, -57.6346)"
Penal,Hurto,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586033,Auto Interlocutorio,10,"(-25.282, -57.6346)"
Penal,Hurto,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586034,Providencia,2,"(-25.282, -57.6346)"
Penal,Hurto - Tentativa,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586035,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Hurto Agravado,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586036,Auto Interlocutorio,25,"(-25.282, -57.6346)"
Penal,Hurto Agravado,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586037,Providencia,4,"(-25.282, -57.6346)"
Penal,Hurto especialmente grave,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586038,Auto Interlocutorio,2,"(-25.282, -57.6346)"
Penal,Intervenciones peligrosas en el tránsito terrestre,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586039,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Invasión de inmueble ajeno,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586040,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Lesión del derecho a la comunicación y a la imagen,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586041,Auto Interlocutorio,1,"(-25.282, -57.6346)"
Penal,Lesión Grave,CAPITAL Y CENTRAL,JUZGADO DE ATENCION PERMANENTE - CENTRAL,586042,Auto Interlocutorio,1,"(-25.282, -57.6346)"
